Community.Area,Week,Year,Weeek,Crimes,Crimes.LastWeek,Arrests.LastWeek,Domestics.LastWeek,Month,MinDay,MaxDay,CommonCrimes.LastWeek
3,12,2013,12,86,79,22,6,3,17,23,52
3,13,2013,13,80,86,24,7,3,24,30,53
3,14,2013,14,80,80,30,11,3.9125,1,31,48
3,15,2013,15,81,80,23,6,4,7,13,54
3,16,2013,16,72,81,23,11,4,14,20,51
3,17,2013,17,71,72,21,7,4,21,27,46
3,18,2013,18,76,71,22,5,4.513157895,1,30,49
3,19,2013,19,64,76,22,6,5,5,11,50
3,2,2013,2,75,54,18,7,1,6,12,35
3,20,2013,20,83,64,21,7,5,12,18,47
3,21,2013,21,64,83,26,3,5,19,25,51
3,22,2013,22,78,64,21,6,5.128205128,1,31,36
3,23,2013,23,115,78,27,12,6,2,8,48
3,24,2013,24,87,115,34,14,6,9,15,66
3,25,2013,25,95,87,32,4,6,16,22,55
3,26,2013,26,87,95,36,4,6,23,29,64
3,27,2013,27,113,87,22,8,6.867256637,1,30,51
3,28,2013,28,98,113,33,8,7,7,13,81
3,29,2013,29,92,98,35,5,7,14,20,66
3,3,2013,3,74,75,26,5,1,13,19,43
3,30,2013,30,81,92,25,12,7,21,27,61
3,31,2013,31,109,81,21,4,7.449541284,1,31,51
3,32,2013,32,77,109,37,12,8,4,10,67
3,33,2013,33,105,77,20,9,8,11,17,55
3,34,2013,34,111,105,41,7,8,18,24,60
3,35,2013,35,67,111,41,8,8,25,31,56
3,36,2013,36,77,67,28,6,9,1,7,45
3,37,2013,37,69,77,22,8,9,8,14,51
3,38,2013,38,96,69,20,5,9,15,21,41
3,39,2013,39,82,96,18,7,9,22,28,60
3,4,2013,4,66,74,20,3,1,20,26,48
3,40,2013,40,101,82,24,5,9.693069307,1,30,41
3,41,2013,41,97,101,34,9,10,6,12,71
3,42,2013,42,105,97,30,6,10,13,19,66
3,43,2013,43,80,105,25,8,10,20,26,62
3,44,2013,44,69,80,22,5,10.28985507,1,31,49
3,45,2013,45,89,69,16,4,11,3,9,38
3,46,2013,46,85,89,38,8,11,10,16,56
3,47,2013,47,71,85,27,5,11,17,23,53
3,48,2013,48,65,71,29,5,11,24,30,41
3,49,2013,49,70,65,21,4,12,1,7,42
3,5,2013,5,72,66,18,8,1.291666667,1,31,34
3,50,2013,50,55,70,22,11,12,8,14,44
3,51,2013,51,66,55,11,7,12,15,21,29
3,52,2013,52,47,66,25,6,12,22,28,41
3,53,2013,53,31,47,18,6,12,29,31,31
3,6,2013,6,79,72,21,5,2,3,9,40
3,7,2013,7,92,79,24,2,2,10,16,48
3,8,2013,8,83,92,32,7,2,17,23,62
3,9,2013,9,83,83,27,9,2.313253012,1,28,62
3,1,2014,1,40,31,8,4,1,1,4,15
3,10,2014,10,73,55,21,3,3,2,8,34
3,11,2014,11,77,73,26,8,3,9,15,44
3,12,2014,12,70,77,30,6,3,16,22,47
3,13,2014,13,65,70,26,6,3,23,29,36
3,14,2014,14,73,65,16,8,3.767123288,1,31,43
3,15,2014,15,76,73,29,6,4,6,12,48
3,16,2014,16,63,76,34,7,4,13,19,52
3,17,2014,17,54,63,15,3,4,20,26,43
3,18,2014,18,62,54,18,4,4.467741935,1,30,34
3,19,2014,19,61,62,22,6,5,4,10,37
3,2,2014,2,40,40,14,1,1,5,11,30
3,20,2014,20,75,61,27,6,5,11,17,51
3,21,2014,21,75,75,23,6,5,18,24,42
3,22,2014,22,87,75,26,6,5,25,31,45
3,23,2014,23,93,87,28,11,6,1,7,58
3,24,2014,24,91,93,34,7,6,8,14,61
3,25,2014,25,70,91,32,7,6,15,21,53
3,26,2014,26,86,70,22,5,6,22,28,48
3,27,2014,27,90,86,27,5,6.7,1,30,55
3,28,2014,28,86,90,31,7,7,6,12,56
3,29,2014,29,90,86,32,4,7,13,19,57
3,3,2014,3,75,40,12,0,1,12,18,19
3,30,2014,30,78,90,38,5,7,20,26,51
3,31,2014,31,81,78,32,5,7.320987654,1,31,49
3,32,2014,32,92,81,30,6,8,3,9,49
3,33,2014,33,99,92,36,6,8,10,16,63
3,34,2014,34,99,99,38,9,8,17,23,75
3,35,2014,35,74,99,25,10,8,24,30,63
3,36,2014,36,100,74,24,3,8.86,1,31,53
3,37,2014,37,76,100,28,11,9,7,13,73
3,38,2014,38,69,76,27,11,9,14,20,48
3,39,2014,39,85,69,20,3,9,21,27,44
3,4,2014,4,56,75,29,3,1,19,25,50
3,40,2014,40,71,85,28,4,9.535211268,1,30,57
3,41,2014,41,67,71,16,6,10,5,11,41
3,42,2014,42,80,67,19,6,10,12,18,43
3,43,2014,43,90,80,30,7,10,19,25,45
3,44,2014,44,70,90,32,7,10.15714286,1,31,59
3,45,2014,45,77,70,28,11,11,2,8,48
3,46,2014,46,63,77,27,4,11,9,15,58
3,47,2014,47,63,63,21,5,11,16,22,44
3,48,2014,48,45,63,20,8,11,23,29,39
3,49,2014,49,59,45,8,6,11.98305085,1,30,28
3,5,2014,5,47,56,18,3,1.212765957,1,31,39
3,50,2014,50,67,59,20,4,12,7,13,36
3,51,2014,51,57,67,14,7,12,14,20,40
3,52,2014,52,54,57,14,4,12,21,27,30
3,53,2014,53,40,54,14,15,12,28,31,30
3,6,2014,6,52,47,14,4,2,2,8,29
3,7,2014,7,84,52,17,3,2,9,15,36
3,8,2014,8,63,84,31,11,2,16,22,48
3,9,2014,9,55,63,24,4,2.127272727,1,28,42
4,1,2013,1,27,#NAME?,#NAME?,#NAME?,1,1,5,#NAME?
4,10,2013,10,43,45,6,2,3,3,9,27
4,11,2013,11,50,43,14,2,3,10,16,23
4,12,2013,12,49,50,6,6,3,17,23,41
4,13,2013,13,32,49,7,3,3,24,30,34
4,14,2013,14,40,32,5,2,3.95,1,31,26
4,15,2013,15,46,40,6,5,4,7,13,27
4,16,2013,16,40,46,11,3,4,14,20,28
4,17,2013,17,44,40,9,4,4,21,27,29
4,18,2013,18,33,44,6,3,4.696969697,1,30,20
4,19,2013,19,36,33,7,5,5,5,11,20
4,2,2013,2,35,27,6,1,1,6,12,14
4,20,2013,20,55,36,10,1,5,12,18,25
4,21,2013,21,39,55,14,4,5,19,25,36
4,22,2013,22,42,39,8,4,5.261904762,1,31,20
4,23,2013,23,47,42,9,5,6,2,8,29
4,24,2013,24,35,47,12,8,6,9,15,35
4,25,2013,25,42,35,7,4,6,16,22,29
4,26,2013,26,39,42,6,3,6,23,29,32
4,27,2013,27,50,39,8,6,6.86,1,30,20
4,28,2013,28,32,50,11,9,7,7,13,37
4,29,2013,29,50,32,4,1,7,14,20,24
4,3,2013,3,45,35,5,5,1,13,19,19
4,30,2013,30,55,50,8,4,7,21,27,33
4,31,2013,31,56,55,6,4,7.428571429,1,31,39
4,32,2013,32,60,56,8,5,8,4,10,36
4,33,2013,33,36,60,9,6,8,11,17,30
4,34,2013,34,40,36,3,2,8,18,24,24
4,35,2013,35,40,40,9,4,8,25,31,28
4,36,2013,36,52,40,7,3,9,1,7,32
4,37,2013,37,46,52,14,2,9,8,14,32
4,38,2013,38,49,46,9,6,9,15,21,31
4,39,2013,39,46,49,5,5,9,22,28,31
4,4,2013,4,46,45,9,7,1,20,26,30
4,40,2013,40,48,46,9,6,9.729166667,1,30,32
4,41,2013,41,39,48,9,5,10,6,12,28
4,42,2013,42,45,39,6,3,10,13,19,22
4,43,2013,43,38,45,7,6,10,20,26,28
4,44,2013,44,46,38,7,3,10.23913043,1,31,19
4,45,2013,45,31,46,7,3,11,3,9,28
4,46,2013,46,46,31,5,5,11,10,16,16
4,47,2013,47,47,46,11,5,11,17,23,33
4,48,2013,48,36,47,8,4,11,24,30,27
4,49,2013,49,54,36,10,2,12,1,7,24
4,5,2013,5,44,46,12,4,1.181818182,1,31,30
4,50,2013,50,31,54,8,5,12,8,14,31
4,51,2013,51,37,31,5,2,12,15,21,20
4,52,2013,52,30,37,0,4,12,22,28,22
4,53,2013,53,10,30,3,2,12,29,31,18
4,6,2013,6,32,44,13,4,2,3,9,34
4,7,2013,7,42,32,4,3,2,10,16,18
4,8,2013,8,36,42,3,6,2,17,23,22
4,9,2013,9,45,36,13,9,2.311111111,1,28,13
4,1,2014,1,16,10,0,0,1,1,4,6
4,10,2014,10,25,26,3,4,3,2,8,16
4,11,2014,11,25,25,1,2,3,9,15,15
4,12,2014,12,30,25,7,3,3,16,22,17
4,13,2014,13,33,30,5,0,3,23,29,19
4,14,2014,14,35,33,7,2,3.685714286,1,31,18
4,15,2014,15,46,35,7,1,4,6,12,20
4,16,2014,16,32,46,12,3,4,13,19,31
4,17,2014,17,40,32,6,4,4,20,26,13
4,18,2014,18,29,40,5,4,4.413793103,1,30,29
4,19,2014,19,31,29,8,4,5,4,10,17
4,2,2014,2,30,16,3,3,1,5,11,7
4,20,2014,20,43,31,6,3,5,11,17,21
4,21,2014,21,41,43,11,4,5,18,24,26
4,22,2014,22,44,41,6,1,5,25,31,28
4,23,2014,23,45,44,8,6,6,1,7,25
4,24,2014,24,45,45,8,6,6,8,14,30
4,25,2014,25,33,45,10,7,6,15,21,24
4,26,2014,26,37,33,12,3,6,22,28,24
4,27,2014,27,47,37,12,2,6.617021277,1,30,25
4,28,2014,28,27,47,9,1,7,6,12,22
4,29,2014,29,45,27,2,2,7,13,19,19
4,3,2014,3,33,30,3,1,1,12,18,17
4,30,2014,30,38,45,11,7,7,20,26,27
4,31,2014,31,41,38,13,1,7.463414634,1,31,21
4,32,2014,32,37,41,6,5,8,3,9,26
4,33,2014,33,41,37,6,7,8,10,16,25
4,34,2014,34,45,41,6,1,8,17,23,27
4,35,2014,35,48,45,7,8,8,24,30,33
4,36,2014,36,37,48,9,2,8.864864865,1,31,34
4,37,2014,37,43,37,6,3,9,7,13,25
4,38,2014,38,44,43,6,7,9,14,20,25
4,39,2014,39,32,44,10,2,9,21,27,30
4,4,2014,4,32,33,6,3,1,19,25,19
4,40,2014,40,40,32,7,2,9.475,1,30,19
4,41,2014,41,30,40,8,4,10,5,11,25
4,42,2014,42,49,30,6,3,10,12,18,21
4,43,2014,43,34,49,10,3,10,19,25,33
4,44,2014,44,29,34,6,1,10.10344828,1,31,21
4,45,2014,45,36,29,4,2,11,2,8,16
4,46,2014,46,42,36,8,6,11,9,15,22
4,47,2014,47,41,42,4,3,11,16,22,28
4,48,2014,48,18,41,10,8,11,23,29,26
4,49,2014,49,32,18,6,2,11.875,1,30,11
4,5,2014,5,41,32,7,2,1.195121951,1,31,19
4,50,2014,50,31,32,10,4,12,7,13,17
4,51,2014,51,38,31,7,7,12,14,20,20
4,52,2014,52,34,38,7,2,12,21,26,23
4,53,2014,53,21,34,3,2,12,28,31,23
4,6,2014,6,36,41,2,2,2,2,8,28
4,7,2014,7,38,36,8,2,2,9,15,24
4,8,2014,8,27,38,9,2,2,16,22,24
4,9,2014,9,26,27,4,3,2.115384615,1,28,20
5,1,2013,1,16,#NAME?,#NAME?,#NAME?,1,1,5,#NAME?
5,10,2013,10,31,38,6,4,3,3,9,23
5,11,2013,11,29,31,3,0,3,10,16,23
5,12,2013,12,31,29,6,1,3,17,23,21
5,13,2013,13,34,31,6,2,3,24,30,22
5,14,2013,14,35,34,5,3,3.885714286,1,31,20
5,15,2013,15,24,35,5,3,4,7,13,24
5,16,2013,16,28,24,3,1,4,14,20,19
5,17,2013,17,42,28,5,1,4,21,27,19
5,18,2013,18,42,42,7,0,4.714285714,1,30,27
5,19,2013,19,34,42,5,3,5,5,11,33
5,2,2013,2,33,16,1,1,1,6,12,11
5,20,2013,20,33,34,5,3,5,12,18,25
5,21,2013,21,37,33,3,1,5,19,25,24
5,22,2013,22,39,37,8,2,5.128205128,1,31,22
5,23,2013,23,36,39,5,1,6,3,8,27
5,24,2013,24,35,36,6,1,6,9,15,26
5,25,2013,25,38,35,5,1,6,16,22,25
5,26,2013,26,24,38,2,3,6,23,29,23
5,27,2013,27,30,24,1,2,6.6,1,30,11
5,28,2013,28,32,30,4,1,7,7,13,19
5,29,2013,29,28,32,2,1,7,14,20,23
5,3,2013,3,34,33,7,0,1,13,19,20
5,30,2013,30,46,28,5,1,7,21,27,17
5,31,2013,31,43,46,5,2,7.697674419,1,31,32
5,32,2013,32,40,43,4,2,8,4,10,31
5,33,2013,33,36,40,6,2,8,11,17,27
5,34,2013,34,42,36,5,0,8,18,24,22
5,35,2013,35,31,42,7,1,8,25,31,32
5,36,2013,36,30,31,4,1,9,1,7,22
5,37,2013,37,33,30,3,4,9,8,14,21
5,38,2013,38,39,33,5,2,9,15,21,21
5,39,2013,39,38,39,7,2,9,22,28,21
5,4,2013,4,36,34,8,3,1,20,26,16
5,40,2013,40,37,38,5,4,9.891891892,1,30,26
5,41,2013,41,35,37,3,3,10,6,12,21
5,42,2013,42,25,35,11,3,10,13,19,21
5,43,2013,43,25,25,2,1,10,20,26,20
5,44,2013,44,33,25,3,2,10.39393939,1,31,17
5,45,2013,45,21,33,7,4,11,3,9,20
5,46,2013,46,25,21,0,2,11,10,16,13
5,47,2013,47,37,25,2,2,11,17,23,21
5,48,2013,48,33,37,4,2,11,24,30,16
5,49,2013,49,36,33,5,1,12,1,7,18
5,5,2013,5,39,36,5,0,1.230769231,1,31,22
5,50,2013,50,34,36,8,1,12,8,14,20
5,51,2013,51,30,34,4,2,12,15,21,21
5,52,2013,52,24,30,5,1,12,22,28,18
5,53,2013,53,13,24,5,4,12,29,31,13
5,6,2013,6,21,39,8,3,2,3,9,19
5,7,2013,7,33,21,3,2,2,10,16,15
5,8,2013,8,20,33,5,3,2,17,23,23
5,9,2013,9,38,20,5,1,2.5,1,28,8
5,1,2014,1,16,13,4,0,1,1,4,8
5,10,2014,10,26,22,5,1,3,2,8,18
5,11,2014,11,25,26,9,0,3,9,15,13
5,12,2014,12,21,25,5,0,3,16,22,17
5,13,2014,13,31,21,2,0,3,23,29,10
5,14,2014,14,24,31,3,3,3.625,1,31,15
5,15,2014,15,18,24,4,2,4,7,12,17
5,16,2014,16,33,18,2,0,4,13,19,9
5,17,2014,17,32,33,9,4,4,20,26,15
5,18,2014,18,30,32,7,5,4.533333333,1,30,24
5,19,2014,19,35,30,5,4,5,4,10,17
5,2,2014,2,13,16,0,1,1,5,11,11
5,20,2014,20,22,35,4,1,5,11,17,19
5,21,2014,21,30,22,4,2,5,18,24,18
5,22,2014,22,24,30,1,1,5,25,31,16
5,23,2014,23,23,24,3,1,6,1,7,16
5,24,2014,24,31,23,1,1,6,8,14,16
5,25,2014,25,25,31,6,2,6,16,21,24
5,26,2014,26,37,25,3,1,6,22,28,15
5,27,2014,27,33,37,6,2,6.696969697,1,30,25
5,28,2014,28,27,33,4,2,7,6,12,19
5,29,2014,29,34,27,2,3,7,13,19,16
5,3,2014,3,38,13,3,0,1,12,18,6
5,30,2014,30,28,34,8,1,7,20,26,21
5,31,2014,31,34,28,1,1,7.323529412,1,31,19
5,32,2014,32,40,34,3,2,8,3,9,22
5,33,2014,33,48,40,2,2,8,10,16,30
5,34,2014,34,26,48,4,4,8,17,23,26
5,35,2014,35,23,26,1,1,8,24,30,13
5,36,2014,36,38,23,8,1,8.842105263,1,31,16
5,37,2014,37,26,38,2,3,9,7,13,28
5,38,2014,38,26,26,2,0,9,14,20,12
5,39,2014,39,28,26,4,2,9,21,27,14
5,4,2014,4,26,38,4,0,1,19,25,23
5,40,2014,40,32,28,7,2,9.53125,1,30,18
5,41,2014,41,28,32,6,0,10,5,11,15
5,42,2014,42,54,28,8,0,10,12,18,24
5,43,2014,43,45,54,2,0,10,19,25,43
5,44,2014,44,24,45,6,3,10.16666667,1,31,33
5,45,2014,45,31,24,8,2,11,2,8,15
5,46,2014,46,27,31,7,1,11,9,15,22
5,47,2014,47,25,27,2,1,11,16,22,16
5,48,2014,48,24,25,3,5,11,23,29,15
5,49,2014,49,36,24,2,2,11.91666667,1,30,16
5,5,2014,5,32,26,5,2,1.09375,1,31,20
5,50,2014,50,30,36,3,1,12,7,13,20
5,51,2014,51,29,30,5,7,12,15,20,19
5,52,2014,52,25,29,8,1,12,21,27,19
5,53,2014,53,12,25,2,0,12,28,31,20
5,6,2014,6,28,32,6,2,2,3,8,19
5,7,2014,7,33,28,4,0,2,9,15,18
5,8,2014,8,21,33,13,2,2,16,22,17
5,9,2014,9,22,21,5,0,2.090909091,1,28,14
6,1,2013,1,71,#NAME?,#NAME?,#NAME?,1,1,5,#NAME?
6,10,2013,10,80,94,16,6,3,3,9,56
6,11,2013,11,127,80,16,5,3,10,16,51
6,12,2013,12,90,127,37,16,3,17,23,86
6,13,2013,13,89,90,18,6,3,24,30,51
